unique_id,monthly_sales
0,18.094873
1,24.090889
112,29.039974
223,29.602674
334,1.9936452
371,6.572709
382,3.0214465
393,29.272413
404,2.2347493
415,4.596299
2,6.489076
13,2.8988256
24,2.5306954
35,28.942781
46,3.3181674
57,4.6029696
68,2.6540198
79,6.9407835
90,8.115122
101,2.684327
113,2.8768084
124,5.128803
135,3.0145593
146,16.74485
157,29.311388
168,3.5938203
179,2.5869143
190,2.3809428
201,4.854521
212,5.017699
224,3.2215736
235,2.8816473
246,2.4056745
257,12.023291
268,2.9927347
279,4.17969
290,5.1521235
301,5.737545
312,2.5080907
323,2.5223672
335,2.2962282
346,16.323725
357,2.4131687
364,29.299671
365,2.4062774
366,3.7666633
367,2.9493184
368,2.2869918
369,8.115749
370,8.3864565
372,3.0734432
373,2.5730026
374,2.2788174
375,2.6545875
376,2.159364
377,2.3608754
378,2.4633114
379,29.402756
380,2.956049
381,3.0418675
383,2.7503476
384,2.3934052
385,2.0781803
386,3.5851474
387,7.845052
388,11.064617
389,2.1541266
390,2.0781803
391,2.1028533
392,29.402756
394,5.8832603
395,8.451895
396,3.791166
397,7.6963835
398,9.489695
399,4.0969687
400,5.4782257
401,2.2647545
402,2.3953173
403,29.388067
405,6.641788
406,3.6874278
407,3.8350515
408,2.8218281
409,3.966424
410,4.0691667
411,4.0989017
412,12.265998
413,6.42394
414,2.2678611
416,3.4134316
417,2.354391
418,2.3518436
419,3.1132832
420,2.1173034
421,3.058358
422,3.629534
423,5.912312
424,4.9099436
425,2.922748
3,4.7079787
4,9.070383
5,2.2728424
6,3.090295
7,2.60855
8,4.0490117
9,6.904706
10,3.3544743
11,3.5734866
12,5.0556016
14,3.1528342
15,4.0808578
16,3.2417173
17,2.7779565
18,2.7118826
19,2.374404
20,3.4966424
21,5.5981836
22,7.3446975
23,18.128721
25,14.707715
26,2.9502468
27,3.7072873
28,2.9807065
29,3.9337385
30,2.572933
31,3.6915293
32,2.7261982
33,3.3495593
34,17.015999
36,3.3467355
37,3.566621
38,6.8125105
39,11.642694
40,3.737444
41,2.7730916
42,2.7228317
43,2.5079777
44,3.6292374
45,9.335428
47,3.0396166
48,2.636194
49,6.032427
50,29.09297
51,3.8352299
52,5.060905
53,3.6522362
54,3.6096215
55,2.9778194
56,2.653254
58,2.787869
59,2.233787
60,4.3527527
61,5.317854
62,10.330423
63,6.524736
64,3.7329786
65,3.672233
66,2.1701806
67,2.393228
69,3.355522
70,5.1128078
71,4.131736
72,3.1722045
73,2.4599378
74,2.1788945
75,2.2064064
76,2.0950074
77,2.1030583
78,2.2064064
80,4.136008
81,2.2393599
82,7.6394076
83,1.9255782
84,2.2314
85,2.1196804
86,4.5124874
87,4.3577833
88,2.598271
89,2.1752012
91,2.598271
92,2.0609217
93,2.1621923
94,4.042704
95,3.0870683
96,2.1996634
97,2.1030583
98,2.3422675
99,4.4717474
100,7.3899775
102,2.5121875
103,7.9942994
104,4.148766
105,3.1348426
106,3.1348426
107,2.657335
108,2.0950074
109,2.0950074
110,3.8989308
111,8.224092
114,29.284943
115,1.6764487
116,2.5014825
117,2.322541
118,3.6002886
119,2.6253932
120,29.146399
121,2.0391967
122,2.025068
123,5.6666875
125,7.0386524
126,5.655076
127,3.2073078
128,2.5944302
129,9.570635
130,3.0573351
131,3.5595932
132,3.3536913
133,3.5527716
134,2.2944245
136,4.6175523
137,3.8638575
138,2.6538064
139,4.166866
140,3.2393367
141,5.1260443
142,8.224313
143,18.195366
144,24.300348
145,11.942039
147,2.0930033
148,4.0868387
149,7.4598207
150,3.6093142
151,3.8040562
152,7.2377877
153,4.5680423
154,5.762383
155,3.3443449
156,2.682048
158,2.250921
159,3.2165172
160,15.670822
161,29.453842
162,2.6453686
163,4.496885
164,5.808524
165,6.6562095
166,4.083919
167,2.5838256
169,2.7673748
170,29.018614
171,3.029007
172,18.439407
173,4.245849
174,2.6238563
175,1.8955166
176,4.244366
177,4.2021165
178,2.8265767
180,2.351582
181,6.799872
182,2.215721
183,3.036166
184,4.4875154
185,2.8813887
186,2.351582
187,2.3645928
188,2.5467901
189,21.9525
191,2.9756393
192,29.251434
193,7.020604
194,2.775429
195,2.838535
196,5.3996964
197,8.697827
198,15.7283535
199,11.992214
200,11.685471
202,2.8449974
203,2.3613052
204,3.9893668
205,3.1063259
206,8.233203
207,6.33112
208,15.810213
209,2.7750406
210,16.805584
211,2.930747
213,2.9604447
214,2.3791192
215,29.371984
216,3.944702
217,4.011584
218,5.673987
219,11.478603
220,8.267667
221,2.3869252
222,2.9456074
225,2.5187747
226,3.0715091
227,7.7699103
228,2.2965724
229,2.1688864
230,2.8401759
231,6.8352146
232,4.55919
233,2.3454893
234,2.9695456
236,15.83506
237,2.909121
238,29.304224
239,5.294722
240,4.164557
241,3.102497
242,29.30086
243,3.368654
244,3.5855234
245,4.4583044
247,2.1754904
248,3.0094595
249,2.367789
250,3.2966144
251,2.3531814
252,3.6065512
253,2.6221893
254,2.2923102
255,6.7292585
256,2.1498704
258,2.3084555
259,2.0751722
260,5.4951463
261,29.276735
262,4.3141537
263,4.3368707
264,3.3978918
265,3.5433047
266,2.6412368
267,2.251064
269,2.251064
270,3.4064472
271,3.9538195
272,11.236583
273,5.7882614
274,29.195469
275,4.8009076
276,3.1954424
277,5.184803
278,5.6024523
280,2.4042327
281,29.447372
282,3.5676527
283,3.167382
284,7.3982205
285,2.3584986
286,2.8821235
287,2.5199797
288,2.4782531
289,6.5459948
291,4.278246
292,2.2471821
293,2.993355
294,3.1546438
295,7.0720973
296,3.3316882
297,5.702931
298,4.6211624
299,3.4637916
300,3.0210226
302,6.658622
303,7.211276
304,11.382223
305,6.7539873
306,3.3947954
307,2.9119678
308,3.0961897
309,4.3346868
310,3.6137981
311,2.4523911
313,2.2851532
314,2.271855
315,5.1663747
316,2.1697273
317,6.981224
318,4.749374
319,3.7349262
320,4.4370275
321,3.1158686
322,4.681073
324,3.5711854
325,4.334834
326,2.9869244
327,21.70292
328,3.3584533
329,4.42715
330,2.4771848
331,6.1958256
332,4.5372586
333,2.5100167
336,29.359892
337,5.1487803
338,2.2926314
339,4.080592
340,5.771909
341,4.755512
342,19.841204
343,29.324217
344,3.5635836
345,1.906233
347,8.019362
348,14.239271
349,4.2680054
350,3.7437196
351,2.249361
352,17.221617
353,29.355913
354,5.047522
355,1.9038777
356,3.1510887
358,2.0194452
359,7.2564497
360,2.4170732
361,4.6499825
362,2.4756496
363,3.779552
